accession_number,geneSymbol,signalP,TM,,,
P08607,C4bpa,NA,NA,,,
P06684,C5,YES,NA,,,
E9Q6D8,C6,YES,NA,,,
D3YXF5,C7,YES,NA,,,
Q8K182,C8a,YES,NA,,,
Q8BH35,C8b,YES,NA,,,
Q8VCG4,C8g,YES,NA,,,
P06683,C9,YES,NA,,,
P00920,Ca2,NA,NA,,,
P14211,Calr,YES,NA,,,
O35887,Calu,YES,NA,,,
Q9ESK3,Capn10,NA,NA,,,
A0A087WQT6,Casp8,NA,NA,,,
Q9WUF3,Casp8ap2,NA,NA,,,
P24270,Cat,NA,NA,,,
E9Q9F7,Ccdc146,NA,NA,,,
Q8BI79,Ccdc40,NA,NA,,,
Q3UHI0-2,Ccser2,NA,NA,,,
Q9QWK4,Cd5l,YES,NA,,,
Q9Z0M6,Cd97,YES,YES,,,
P09803,Cdh1,YES,YES,,,
Q9R100,Cdh17,YES,YES,,,
P15116,Cdh2,YES,YES,,,
P55284,Cdh5,YES,YES,,,
Q9R0M0,Celsr2,YES,YES,,,
P49452,Cenpc,NA,NA,,,
A2AQH1,Cerkl,NA,NA,,,
Q8VCC2,Ces1,YES,NA,,,
D3Z5G7,Ces1b,YES,NA,,,
P23953,Ces1c,YES,NA,,,
Q91WU0,Ces1f,YES,NA,,,
Q8QZR3,Ces2a,YES,NA,,,
Q6PDB7,Ces2b,YES,NA,,,
Q91WG0,Ces2c,YES,NA,,,
Q8BK48,Ces2e,YES,NA,,,
E9PV38,Ces2g,YES,NA,,,
Q63880,Ces3a,YES,NA,,,
Q8VCU1,Ces3b,YES,NA,,,
P03953,Cfd,YES,NA,,,
E9Q8I0,Cfh,YES,NA,,,
Q61406,Cfhr1,YES,NA,,,
Q4LDF6,Cfhr2,YES,NA,,,
Q61129,Cfi,YES,NA,,,
P11680,Cfp,YES,NA,,,
E9QPK1,Cgref1,NA,NA,,,
E9PYL1,Chd5,NA,NA,,,
Q8BYH8,Chd9,NA,NA,,,
P16014,Chgb,YES,NA,,,
Q922Q9,Chid1,YES,NA,,,
K3W4R5,Ckap5,NA,NA,,,
O88200,Clec11a,YES,NA,,,
P43025,Clec3b,YES,NA,,,
P70194,Clec4f,NA,NA,,,
Q06890,Clu,YES,NA,,,
Q9DAU1,Cnpy3,YES,NA,,,
P68500,Cntn5,NA,NA,,,
E9QPX1,Col18a1,YES,NA,,,
Q04857,Col6a1,YES,NA,,,
Q02788,Col6a2,YES,NA,,,
E9PWQ3,Col6a3,YES,NA,,,
A6H584,Col6a5,YES,NA,,,
Q8CF98,Colec10,YES,NA,,,
Q3SXB8-2,Colec11,NA,NA,,,
Q9R0G6,Comp,YES,NA,,,
O89053,Coro1a,NA,NA,,,
G3X8Q5,Cp,YES,NA,,,
Q9JHH6,Cpb2,YES,NA,,,
O89001,Cpd,YES,YES,,,
Q9JJN5,Cpn1,YES,NA,,,
Q9DBB9,Cpn2,YES,NA,,,
Q9QXK7,Cpsf3,NA,NA,,,
Q9CYA0,Creld2,YES,NA,,,
P14847,Crp,YES,NA,,,
P09581,Csf1r,YES,YES,,,
Q80T79,Csmd3,NA,YES,,,
P02662,CSN1S1,YES,NA,,,
P02663,CSN1S2,YES,NA,,,
P02666,CSN2,YES,NA,,,
P02668,CSN3,YES,NA,,,
P12399,Ctla2a,YES,NA,,,
G3X8T3,Ctsa,YES,NA,,,
P18242,Ctsd,YES,NA,,,
Q9WUU7,Ctsz,YES,NA,,,
A0A0A6YW72,Dchs2,NA,YES,,,
P28654,Dcn,YES,NA,,,
B1AZP2,Dlgap4,NA,NA,,,
D3YYQ8,Dnah10,NA,NA,,,
E9Q7N9,Dnah11,NA,NA,,,
A0A140LIJ4,Dnah14,NA,NA,,,
Q91YW3,Dnajc3,YES,NA,,,
S4R1G0,Dnase2a,YES,NA,,,
O55111,Dsg2,YES,NA,,,
Q3UFC6,Dsg3,YES,NA,,,
S4R1P5,Dst,NA,NA,,,
A2BI80,Ebf4,YES,NA,,,
Q61508,Ecm1,YES,NA,,,
P10126,Eef1a1,NA,NA,,,
P62631,Eef1a2,NA,NA,,,
Q8BPB5,Efemp1,YES,NA,,,
G5E8D6,Efemp2,YES,NA,,,
Q01279,Egfr,YES,YES,,,
Q8CB77,Eloa,NA,NA,,,
Q99K41,Emilin1,YES,NA,,,
Q9R1E6-2,Enpp2,NA,NA,,,
Q3TQC7,Entpd5,NA,YES,,,
Q8BGS1-3,Epb41l5,NA,NA,,,
Q9EQH2,Erap1,YES,NA,,,
Q9D1Q6,Erp44,YES,NA,,,
H3BKH6,Esd,NA,NA,,,
P97366,Evi5,NA,NA,,,
P97464,Ext1,NA,NA,,,
P70428,Ext2,NA,NA,,,
Q9ES89,Extl2,NA,NA,,,
P26040,Ezr,NA,NA,,,
Q3U3V1,F10,NA,NA,,,
Q91Y47,F11,YES,NA,,,
Q80YC5,F12,YES,NA,,,
Q8BH61,F13a1,NA,NA,,,
Q07968,F13b,YES,NA,,,
P19221,F2,YES,NA,,,
O88783,F5,YES,NA,,,
P70375,F7,YES,NA,,,
Q06194,F8,YES,NA,,,
P16294,F9,YES,NA,,,
Q3U2I3,Fam160a2,NA,NA,,,
Q5MJS3,Fam20c,YES,NA,,,
A0A087WRT4,Fat1,YES,YES,,,
Q08879-2,Fbln1,NA,NA,,,
O70165,Fcn1,YES,NA,,,
Q9QXC1,Fetub,YES,NA,,,
E9PV24,Fga,YES,NA,,,
Q8K0E8,Fgb,YES,NA,,,
O35622,Fgf15,YES,NA,,,
Q3UER8,Fgg,YES,NA,,,
Q71KU9,Fgl1,YES,NA,,,
P35917,Flt4,YES,YES,,,
A0A087WSN6,Fn1,YES,NA,,,
Q80T14,Fras1,YES,YES,,,
Q62356,Fstl1,YES,NA,,,
Q00612,G6pdx,NA,NA,,,
P54818,Galc,YES,NA,,,
Q80VA0-2,Galnt7,NA,NA,,,
Q8BHN3-2,Ganab,NA,NA,,,
P16858,Gapdh,NA,NA,,,
Q61592,Gas6,YES,NA,,,
Q6DFZ1,Gbf1,NA,NA,,,
P21614,Gc,YES,NA,,,
Q6T5E4,Gcnt2,NA,NA,,,
E9PUU4,Gemin5,NA,NA,,,
Q9Z0L8,Ggh,YES,NA,,,
P16882-2,Ghr,NA,NA,,,
Q9EPS3,Glce,NA,NA,,,
Q02596,Glycam1,YES,NA,,,
P01642,Gm10881,YES,NA,,,
A0A1D5RLM8,Gm11639,NA,NA,,,
B8JJN0,Gm20547,YES,NA,,,
F6R7E8,Gm2663,YES,NA,,,
E9PUM5,Gm4788,YES,NA,,,
P01627,Gm5153,YES,NA,,,
P01639,Gm5571,YES,NA,,,
D3YTY6,Gm6096,NA,NA,,,
A0A0N4SVU1,Gm7298,YES,NA,,,
Q6S5C2-2,Gnptg,NA,NA,,,
O35930,Gp1ba,YES,YES,,,
O08742,Gp5,YES,YES,,,
P13707,Gpd1,NA,NA,,,
Q8VCU2,Gpld1,YES,NA,,,
P46412,Gpx3,YES,NA,,,
Q61627,Grid1,YES,YES,,,
Q3U9N4,Grn,YES,NA,,,
P13020,Gsn,YES,NA,,,
P01901,H2-K1,YES,YES,,,
P01898,H2-Q10,YES,NA,,,
Q8HWB2,H2-Q4,YES,NA,,,
P79568,H2-Q6,YES,NA,,,
P0C0S6,H2afz,NA,NA,,,
A2A7A7,H6pd,YES,NA,,,
Q8K0D2,Habp2,YES,NA,,,
Q9EQ21,Hamp,YES,NA,,,
Q80T19,Hamp2,YES,NA,,,
Q91VB8,Hba-a1,NA,NA,,,
P02088,Hbb-b1,NA,NA,,,
P02089,Hbb-b2,NA,NA,,,
A8DUK4,Hbb-bs,NA,NA,,,
Q9Z0Z4,Heph,YES,YES,,,
Q9R098,Hgfac,YES,NA,,,
P43274,Hist1h1e,NA,NA,,,
P10854,Hist1h2bm,NA,NA,,,
P68433,Hist1h3a,NA,NA,,,
O88569,Hnrnpa2b1,NA,NA,,,
Q61646,Hp,YES,NA,,,
E9Q5P0,Hpn,NA,NA,,,
Q91X72,Hpx,YES,NA,,,
Q9ESB3,Hrg,YES,NA,,,
P11499,Hsp90ab1,NA,NA,,,
P08113,Hsp90b1,YES,NA,,,
Q8BM72,Hspa13,YES,NA,,,
P20029,Hspa5,YES,NA,,,
P63017,Hspa8,NA,NA,,,
A2AFQ0,Huwe1,NA,NA,,,
Q80W93,Hydin,NA,NA,,,
Q9JKR6,Hyou1,YES,NA,,,
Q9DBD0,Ica,YES,NA,,,
Q9JHJ8-2,Icoslg,NA,NA,,,
Q8VC49,Ifi27l2b,NA,YES,,,
O35664-3,Ifnar2,NA,NA,,,
Q8CAR0,Igf1,YES,NA,,,
Q07113,Igf2r,YES,YES,,,
P70389,Igfals,YES,NA,,,
P47877,Igfbp2,YES,NA,,,
P47878,Igfbp3,YES,NA,,,
P47879,Igfbp4,YES,NA,,,
P47880,Igfbp6,YES,NA,,,
E9Q5D9,Igfbp7,YES,NA,,,
A0A0A6YXW6,Igha,NA,NA,,,
A0A1Y7VJX7,Ighe,NA,NA,,,
P01869,Ighg1,NA,YES,,,
A0A0A6YVP0,Ighg2b,NA,YES,,,
F6TQW2,Ighg2c,NA,YES,,,
P01872,Ighm,NA,NA,,,
A0A0A6YWI9,Ighv1-11,YES,NA,,,
A0A075B5U0,Ighv1-12,NA,NA,,,
A0A075B5U4,Ighv1-18,YES,NA,,,
A0A075B5U7,Ighv1-22,YES,NA,,,
A0A075B5V5,Ighv1-39,YES,NA,,,
A0A075B5V6,Ighv1-42,NA,NA,,,
A0A075B5V8,Ighv1-47,YES,NA,,,
A0A075B5T5,Ighv1-5,NA,NA,,,
A0A075B5W1,Ighv1-50,YES,NA,,,
A0A075B5W3,Ighv1-53,YES,NA,,,
A0A075B5W6,Ighv1-55,YES,NA,,,
A0A075B680,Ighv1-62-2,NA,NA,,,
A0A075B5T7,Ighv1-7,YES,NA,,,
P01751,Ighv1-72,NA,NA,,,
A0A075B5Y1,Ighv1-74,YES,NA,,,
A0A0B4J1N0,Ighv1-76,NA,NA,,,
A0A0B4J1M0,Ighv1-77,NA,NA,,,
A0A075B674,Ighv1-78,NA,NA,,,
A0A075B5Y3,Ighv1-80,YES,NA,,,
A0A075B5Y4,Ighv1-81,YES,NA,,,
A0A0B4J1J7,Ighv1-82,NA,NA,,,
A0A075B5T9,Ighv1-9,YES,NA,,,
A0A0B4J1J6,Ighv10-1,YES,NA,,,
A0A075B5T6,Ighv10-3,YES,NA,,,
A0A075B5R6,Ighv11-1,YES,NA,,,
A0A087WPN7,Ighv13-2,NA,NA,,,
A0A075B5R4,Ighv14-1,YES,NA,,,
A0A075B5R7,Ighv14-2,YES,NA,,,
A0A075B5R9,Ighv14-3,YES,NA,,,
A0A075B5P8,Ighv2-2,YES,NA,,,
A0A075B5Q3,Ighv2-5,YES,NA,,,
A0A075B5Q5,Ighv2-9,YES,NA,,,
A0A075B697,Ighv2-9-1,YES,NA,,,
A0A075B5R5,Ighv4-1,YES,NA,,,
A0A075B5Q4,Ighv5-12,YES,NA,,,
A0A075B5R0,Ighv5-16,YES,NA,,,
A0A075B5R1,Ighv5-17,YES,NA,,,
A0A075B5P9,Ighv5-4,YES,NA,,,
A0A075B5Q6,Ighv5-9-1,YES,NA,,,
A0A075B5T2,Ighv6-3,YES,NA,,,
A0A075B5T3,Ighv6-6,YES,NA,,,
A0A0A6YWU3,Ighv6-7,YES,NA,,,
A0A075B5S2,Ighv7-1,YES,NA,,,
A0A075B5R2,Ighv7-3,YES,NA,,,
A0A075B5X8,Ighv8-12,NA,NA,,,
A0A0A6YXQ0,Ighv8-8,YES,NA,,,
A0A0B4J1J5,Ighv9-3,YES,NA,,,
A0A075B5S9,Ighv9-4,NA,NA,,,
A0A0B4J1H9,Igkv1-132,YES,NA,,,
A0A0B4J1H8,Igkv1-133,YES,NA,,,
A0A0B4J1H7,Igkv1-135,YES,NA,,,
A0A140T8M2,Igkv12-44,YES,NA,,,
A0A140T8P6,Igkv12-46,YES,NA,,,
A0A075B5L4,Igkv12-89,YES,NA,,,
A0A140T8N3,Igkv13-84,YES,NA,,,
A0A140T8P9,Igkv14-111,YES,NA,,,
A0A075B5K0,Igkv14-126,YES,NA,,,
A0A0B4J1I1,Igkv16-104,YES,NA,,,
A0A075B6D5,Igkv19-93,YES,NA,,,
A0A0B4J1H6,Igkv2-137,YES,NA,,,
A0A075B5N9,Igkv3-7,NA,NA,,,
A0A075B677,Igkv4-53,NA,NA,,,
A0A0B4J1I9,Igkv4-55,YES,NA,,,
A0A0A6YYE7,Igkv4-57,YES,NA,,,
A0A075B5M3,Igkv4-58,NA,NA,,,
A0A0B4J1I8,Igkv4-59,YES,NA,,,
A0A075B5M2,Igkv4-61,NA,NA,,,
A0A075B5M1,Igkv4-63,NA,NA,,,
A0A075B5L7,Igkv4-80,YES,NA,,,
A0A075B5M7,Igkv5-39,NA,NA,,,
A0A075B5N7,Igkv6-13,NA,NA,,,
A0A140T8M5,Igkv6-15,YES,NA,,,
A0A140T8Q3,Igkv6-17,YES,NA,,,
A0A140T8N5,Igkv6-23,YES,NA,,,
A0A140T8N7,Igkv6-25,YES,NA,,,
A0A075B5N6,Igkv8-16,YES,NA,,,
A0A140T8M4,Igkv8-19,NA,NA,,,
A0A140T8P7,Igkv8-21,YES,NA,,,
A0A140T8P5,Igkv8-24,YES,NA,,,
A0A075B5N4,Igkv8-27,NA,NA,,,
A0A075B5N3,Igkv8-28,NA,NA,,,
A0A140T8M3,Igkv8-30,YES,NA,,,
A0A140T8N8,Igkv9-123,YES,NA,,,
A0A075B5K2,Igkv9-124,NA,NA,,,
P01844,Iglc2,NA,NA,,,
P01845,Iglc3,NA,NA,,,
Q61730-2,Il1rap,NA,NA,,,
P55104,Inhbc,YES,NA,,,
Q059U7,Intu,NA,NA,,,
Q64339,Isg15,NA,NA,,,
Q9QUM0,Itga2b,YES,YES,,,
F8WJ05,Itih1,YES,NA,,,
G3X977,Itih2,YES,NA,,,
Q61704,Itih3,YES,NA,,,
A6X935,Itih4,YES,NA,,,
P01592,Jchain,YES,NA,,,
Q03717,Kcnb1,NA,YES,,,
Q3U492,Kcp,YES,NA,,,
Q6ZPY7,Kdm3b,NA,NA,,,
F8VQ75,Kif13a,NA,NA,,,
P26262,Klkb1,YES,NA,,,
A0A0R4J038,Kng1,YES,NA,,,
Q6S9I0,Kng2,YES,NA,,,
Q8C3Y4,Kntc1,NA,NA,,,
P02535,Krt10,NA,NA,,,
P08730,Krt13,NA,NA,,,
Q61781,Krt14,NA,NA,,,
O77727,KRT15,NA,NA,,,
Q9Z2K1,Krt16,NA,NA,,,
P19001,Krt19,NA,NA,,,
Q3TTY5,Krt2,NA,NA,,,
Q9R0H5,Krt71,NA,NA,,,
Q6IME9,Krt72,NA,NA,,,
Q6IFZ6,Krt77,NA,NA,,,
Q0VBK2,Krt80,NA,NA,,,
P11627,L1cam,YES,YES,,,
P97927,Lama4,YES,NA,,,
E9QN70,Lamb1,NA,NA,,,
P02468,Lamc1,YES,NA,,,
Q61805,Lbp,YES,NA,,,
P16301,Lcat,YES,NA,,,
P00342,Ldhc,NA,NA,,,
P48356,Lepr,YES,YES,,,
P42703-2,Lifr,NA,NA,,,
P27656,Lipc,YES,NA,,,
Q9D0F3,Lman1,YES,YES,,,
Q9DBH5,Lman2,YES,YES,,,
Q2HJF0,LOC525947,YES,NA,,,
Q9DBN5,Lonp2,NA,NA,,,
P97873,Loxl1,YES,NA,,,
P11152,Lpl,YES,NA,,,
Q91XL1,Lrg1,YES,NA,,,
Q91ZX7,Lrp1,YES,YES,,,
Q5S006,Lrrk2,NA,NA,,,
Q8CG19,Ltbp1,YES,NA,,,
Q7TNC4,Luc7l2,NA,NA,,,
P51885,Lum,YES,NA,,,
P00698,LYZ,YES,NA,,,
Q8CG85,Mamdc2,YES,NA,,,
P45700,Man1a1,NA,YES,,,
O09159,Man2b1,YES,NA,,,
O54782,Man2b2,YES,NA,,,
Q8K2I4,Manba,YES,NA,,,
Q8BKH7,Mapkap1,NA,NA,,,
P98064-2,Masp1,NA,NA,,,
Q91WP0,Masp2,YES,NA,,,
P39039,Mbl1,YES,NA,,,
P41317,Mbl2,YES,NA,,,
Q60805,Mertk,YES,YES,,,
P16056,Met,YES,YES,,,
Q8BI84,Mia3,YES,NA,,,
Q9Z2L6,Minpp1,YES,NA,,,
Q9JHI0,Mmp19,YES,NA,,,
Q8K3F2,Mmp21,YES,NA,,,
Q922W6,Mmp3,YES,NA,,,
B2RPV6,Mmrn1,YES,NA,,,
A6H6E2,Mmrn2,YES,NA,,,
Q61884,Mns1,NA,NA,,,
Q80UM7,Mogs,NA,NA,,,
P26928,Mst1,YES,NA,,,
O08689,Mstn,YES,NA,,,
Q3UHU5,Mtcl1,NA,NA,,,
Q922D8,Mthfd1,NA,NA,,,
O08601-2,Mttp,NA,NA,,,
A0A140LJ72,Muc16,NA,YES,,,
P28665,Mug1,YES,NA,,,
P28666,Mug2,YES,NA,,,
P11589,Mup2,YES,NA,,,
P10166,Mycl,NA,NA,,,
O08638,Myh11,NA,NA,,,
Q02566,Myh6,NA,NA,,,
Q8VDD5,Myh9,NA,NA,,,
E9QAX2,Myo18a,NA,NA,,,
Q6A037,N4bp1,NA,NA,,,
O88325,Naglu,YES,NA,,,
O09043,Napsa,YES,NA,,,
F8VQL9,Ncor2,NA,NA,,,
A2AQB2,Neb,NA,NA,,,
Q9CQ45,Nenf,YES,NA,,,
P10493,Nid1,YES,NA,,,
Q8R5K4,Nol6,NA,NA,,,
Q9Z0J4-5,Nos1,NA,NA,,,
Q01705,Notch1,YES,NA,,,
G5E8J0,Notch2,NA,NA,,,
Q61982,Notch3,YES,YES,,,
D3Z4E2,Nrn1,NA,YES,,,
P97333,Nrp1,YES,YES,,,
Q02819,Nucb1,YES,NA,,,
Q8QZR4,Oaf,YES,NA,,,
Q8R357,Olfm1,NA,NA,,,
Q60590,Orm1,YES,NA,,,
P07361,Orm2,YES,NA,,,
P35454,Oxt,YES,NA,,,
Q9ESG6,P2ry14,NA,YES,,,
P09103,P4hb,YES,NA,,,
P97467,Pam,YES,NA,,,
P60335,Pcbp1,NA,NA,,,
Q91ZA3,Pcca,NA,NA,,,
Q99MN9,Pccb,NA,NA,,,
Q91Y21,Pcdha1,YES,YES,,,
Q9QYX7,Pclo,NA,NA,,,
Q04592,Pcsk5,YES,YES,,,
Q80W65,Pcsk9,YES,NA,,,
E9QPD7,Pcx,NA,NA,,,
Q9CQF9,Pcyox1,YES,NA,,,
P26618,Pdgfra,YES,YES,,,
P27773,Pdia3,YES,NA,,,
P08003,Pdia4,YES,NA,,,
A2AFG3,Pdzd4,NA,NA,,,
Q69ZS0,Pdzrn3,NA,NA,,,
Q9Z126,Pf4,YES,NA,,,
P12382,Pfkl,NA,NA,,,
P47857-3,Pfkm,NA,NA,,,
Q8C605,Pfkp,NA,NA,,,
P09411,Pgk1,NA,NA,,,
Q8VCS0,Pglyrp2,YES,NA,,,
Q9ET66,Pi16,YES,NA,,,
O70570,Pigr,YES,YES,,,
E9PZ36,Pkhd1,YES,YES,,,
E9PUU8,Pkhd1l1,YES,NA,,,
P52480,Pkm,NA,NA,,,
Q8VI78,Pla1a,YES,NA,,,
Q8C115,Plekhh2,NA,NA,,,
P20918,Plg,YES,NA,,,
Q9R0E2,Plod1,YES,NA,,,
Q9R0E1,Plod3,YES,NA,,,
P55065,Pltp,YES,NA,,,
Q9DC11,Plxdc2,YES,YES,,,
Q8CJH3,Plxnb1,YES,NA,,,
B2RXS4,Plxnb2,YES,NA,,,
Q9CZB2,Pmel,YES,YES,,,
Q8VHI3,Pofut2,YES,NA,,,
Q8BYB9,Poglut1,YES,NA,,,
P52431,Pold1,NA,NA,,,
P52430,Pon1,YES,NA,,,
Q62009,Postn,YES,NA,,,
Q9EQI5,Ppbp,YES,NA,,,
P30412,Ppic,YES,NA,,,
Q61171,Prdx2,NA,NA,,,
O08807,Prdx4,YES,NA,,,
E0CZ58,Prg4,YES,NA,,,
O08795-2,Prkcsh,NA,NA,,,
P33587,Proc,YES,NA,,,
Q08761,Pros1,YES,NA,,,
Q9CQW3,Proz,YES,NA,,,
Q61207,Psap,YES,NA,,,
Q9R1P4,Psma1,NA,NA,,,
Q8C2E4,Ptcd1,NA,NA,,,
F8VQD7,Ptprg,NA,NA,,,
P35822,Ptprk,YES,YES,,,
Q9WUB3,Pygm,NA,NA,,,
Q61838,Pzp,YES,NA,,,
Q8BND5-3,Qsox1,NA,NA,,,
Q05144,Rac2,NA,NA,,,
P62827,Ran,NA,NA,,,
Q64700,Rbl2,NA,NA,,,
H7BWY6,Rbp4,NA,NA,,,
Q9Z0J1,Reck,YES,NA,,,
Q60841,Reln,YES,NA,,,
Q99P87,Retn,YES,NA,,,
P47911,Rpl6,NA,NA,,,
P62983,Rps27a,NA,NA,,,
P62242,Rps8,NA,NA,,,
E9PZQ0,Ryr1,NA,YES,,,
E9Q401,Ryr2,NA,YES,,,
P05366,Saa1,YES,NA,,,
P31532,Saa4,YES,NA,,,
E9PX59,Samd9l,NA,NA,,,
Q7TNB8,Sbno2,NA,NA,,,
Q8CIT9,Sbsn,YES,NA,,,
Q63836,Selenbp2,NA,NA,,,
P70274,Selenop,YES,NA,,,
Q62178,Sema4a,YES,YES,,,
Q8R121,Serpina10,YES,NA,,,
E9QLL8,Serpina11,YES,NA,,,
A0A0A0MQA3,Serpina1a,NA,NA,,,
P22599,Serpina1b,YES,NA,,,
A0A0R4J0X5,Serpina1c,YES,NA,,,
Q00897,Serpina1d,YES,NA,,,
Q00898,Serpina1e,YES,NA,,,
P29621,Serpina3c,YES,NA,,,
D3Z450,Serpina3i,NA,NA,,,
A0A0R4J0I1,Serpina3k,YES,NA,,,
Q03734,Serpina3m,YES,NA,,,
Q91WP6,Serpina3n,YES,NA,,,
Q06770,Serpina6,YES,NA,,,
Q3UEL9,Serpina7,YES,NA,,,
Q9D154,Serpinb1a,NA,NA,,,
P32261,Serpinc1,YES,NA,,,
P49182,Serpind1,YES,NA,,,
Q07235,Serpine2,YES,NA,,,
P97298,Serpinf1,YES,NA,,,
Q61247,Serpinf2,YES,NA,,,
P97290,Serping1,YES,NA,,,
Q9EPK6,Sil1,YES,NA,,,
Q5I012,Slc38a10,NA,YES,,,
Q49B93-2,Slc5a12,NA,NA,,,
Q6P9P0,Slf2,NA,NA,,,
O54988,Slk,NA,NA,,,
Q8BLY1,Smoc1,YES,NA,,,
Q9CSN1,Snw1,NA,NA,,,
O09164,Sod3,YES,NA,,,
P40645,Sox6,NA,NA,,,
P07214,Sparc,YES,NA,,,
P70663,Sparcl1,YES,NA,,,
Q80VP2,Spata7,NA,NA,,,
Q9R097,Spint1,YES,YES,,,
Q8VCC9,Spon1,YES,NA,,,
Q8K1I3,Spp2,YES,NA,,,
P13609,Srgn,YES,NA,,,
Q6P069,Sri,NA,NA,,,
Q7TQ48,Srl,YES,NA,,,
P14576,Srp54,NA,NA,,,
A2AVA0,Svep1,YES,NA,,,
E9Q3E2,Synpo,NA,NA,,,
Q8BYC6,Taok3,NA,NA,,,
O88968,Tcn2,YES,NA,,,
Q3UHK6-2,Tenm4,NA,NA,,,
Q921I1,Tf,YES,NA,,,
O54819,Tfpi,YES,NA,,,
Q62351,Tfrc,NA,YES,,,
P04202,Tgfb1,YES,NA,,,
P82198,Tgfbi,YES,NA,,,
Q80YQ1,Thbs1,YES,NA,,,
Q9Z1T2,Thbs4,YES,NA,,,
P39876,Timp3,YES,NA,,,
Q9WVB3,Tle6,NA,NA,,,
B2RQ80,Tnik,NA,NA,,,
O35452,Tnxb,YES,NA,,,
A0A1Y7VLS3,Togaram1,NA,NA,,,
O89023,Tpp1,YES,NA,,,
F6ZDS4,Tpr,NA,NA,,,
Q0KL02-4,Trio,NA,NA,,,
Q792Z1,Try10,YES,NA,,,
Q9QUK9,Try5,YES,NA,,,
Q8CBR6,Tsku,YES,NA,,,
A4Q9F4,Ttll11,NA,NA,,,
A2ASS6,Ttn,NA,NA,,,
P07309,Ttr,YES,NA,,,
P05213,Tuba1b,NA,NA,,,
P68368,Tuba4a,NA,NA,,,
A2AQ07,Tubb1,NA,NA,,,
Q9CWF2,Tubb2b,NA,NA,,,
P68372,Tubb4b,NA,NA,,,
P99024,Tubb5,NA,NA,,,
P10639,Txn,NA,NA,,,
Q91W90,Txndc5,YES,NA,,,
Q02053,Uba1,NA,NA,,,
Q8VCN3,Ugt2b37,YES,YES,,,
