"ensembl_gene_id","entrezgene_id","description","mgi_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_BirA","baseMean_BirA_Sox2Cre","Kid92","Kid93","Kid94","Kid95"
"ENSMUSG00000073125",574437,"X-linked lymphocyte-regulated 3B [Source:MGI Symbol;Acc:MGI:109505]","Xlr3b",169.885788057304,2.88981465648795,0.426994167594365,6.76780826485015,1.30747863967523e-11,2.45675236394976e-08,3340.96042683377,3203.1369998571,3134.38669467634,3547.5341589912,3178.06472992739,3228.20926978681
"ENSMUSG00000047676",NA,"ribosomal protein SA, pseudogene 10 [Source:MGI Symbol;Acc:MGI:3704228]","Rpsa-ps10",2290.66738296312,2.71246151510782,0.220871692636059,12.2807114064059,1.14982701366806e-34,1.29631497520937e-30,43.005587998888,32.70606521265,45.4085758283267,40.6026001694494,48.675455345588,16.736675079712
"ENSMUSG00000082908",NA,"predicted gene 13736 [Source:MGI Symbol;Acc:MGI:3650137]","Gm13736",293.064382057778,2.39723378378054,0.345839671684312,6.93163329731811,4.16009197299695e-12,8.52743216428502e-09,97.4300604486232,116.059404854365,105.15670191823,89.7034189790161,107.086001760294,125.032807948437
"ENSMUSG00000057836",22445,"X-linked lymphocyte-regulated 3A [Source:MGI Symbol;Acc:MGI:109506]","Xlr3a",122.565891446765,2.21316773587687,0.455074196843588,4.86331185381963,1.15437752552272e-06,0.00118313202024937,18884.0743652015,18800.2785367205,20919.013906597,16849.1348238059,16960.2986589609,20640.2584144802
"ENSMUSG00000063130",70405,"calmodulin-like 3 [Source:MGI Symbol;Acc:MGI:1917655]","Calml3",345.391446796355,-2.16223248955385,0.291900875248091,-7.40742037075474,1.2877976035061e-13,3.22636226265063e-10,10037.2447633132,9739.05979951894,10629.1916313938,9445.29789523261,9635.9701418684,9842.14945716948
"ENSMUSG00000037625",18417,"claudin 11 [Source:MGI Symbol;Acc:MGI:106925]","Cldn11",397.411161582731,-2.5119108015928,0.348075825901149,-7.21656206687035,5.33183336548791e-13,1.20222178725021e-09,1064.31017379784,1010.95128161091,1139.99424579536,988.626101800315,983.244197980878,1038.65836524095
"ENSMUSG00000021575",11624,"aryl-hydrocarbon receptor repressor [Source:MGI Symbol;Acc:MGI:1333776]","Ahrr",118.707247912205,-2.56142999128728,0.436707441716229,-5.86532251710904,4.48260525003353e-09,6.31711144860975e-06,3.77698606227436,0.98451029880659,0,7.55397212454873,0,1.96902059761318
"ENSMUSG00000032942",22229,"uncoupling protein 3 (mitochondrial, proton carrier) [Source:MGI Symbol;Acc:MGI:1099787]","Ucp3",77.6717376531852,-2.73120455430026,0.621919286218122,-4.39157397884966,1.12533032641066e-05,0.00906212435710985,165.980798892796,144.877179881687,178.049415747912,153.91218203768,154.876448826871,134.877910936503
"ENSMUSG00000033491",244954,"protease, serine 35 [Source:MGI Symbol;Acc:MGI:2444800]","Prss35",74.2282531154724,-2.83333878098672,0.693037772257287,-4.08828911555323,4.34566345018725e-05,0.0279960055642349,9.62644066814997,4.92255149403295,10.7546626961826,8.49821864011732,0,9.8451029880659
"ENSMUSG00000041293",77596,"adhesion G protein-coupled receptor F1 [Source:MGI Symbol;Acc:MGI:1924846]","Adgrf1",256.70739160324,-2.84818689806564,0.349873669980676,-8.14061514895634,3.9327460576141e-16,1.10844447633853e-12,1.41636977335289,1.77001655802138,0,2.83273954670577,3.54003311604276,0
"ENSMUSG00000040187",272322,"aryl hydrocarbon receptor nuclear translocator-like 2 [Source:MGI Symbol;Acc:MGI:2684845]","Arntl2",149.416291619883,-3.00285535647299,0.489357266213146,-6.13632526540447,8.44521577850923e-10,1.26948483582551e-06,10.1946131743743,1.47676544820988,7.16977513078842,13.2194512179603,0,2.95353089641977
"ENSMUSG00000039956",77037,"melanocortin 2 receptor accessory protein [Source:MGI Symbol;Acc:MGI:1924287]","Mrap",56.1114841113942,-4.39452298911481,0.881337341530084,-4.98619856669809,6.15788580446676e-07,0.000661180995805317,476.032628323431,456.063030967621,541.318022374526,410.747234272337,433.654056715239,478.472005220003
